taxpayer_id,afm,sector,income,declarations_last_3y,avg_declaration_amount,days_since_last_audit,sector_risk_score,income_volatility,declared_employees,is_flagged
103,875449632,AGRICULTURE,49272.66,8,47075.11,464,0.4,0.426,44,0
104,484220900,RETAIL,93380.59,6,0,829,0.35,0.096,31,0
105,970670430,TECH,44540.46,1,26123.71,81,0.15,0.821,112,0
106,054233574,CONSTRUCTION,36206.1,9,55170.23,441,0.55,0.791,2,0
107,428815147,TECH,6184.17,12,8611.6,1659,0.15,0.83,32,0
108,991557287,AGRICULTURE,67337.75,9,34958.82,19,0.4,0.311,29,0
109,826136243,HEALTHCARE,10632.32,1,7077.21,1068,0.2,0.655,27,0
110,959329544,AGRICULTURE,41727.5,1,39451.83,948,0.4,0.85,42,1
111,218270062,AGRICULTURE,50315.17,11,38589.47,655,0.4,0.264,40,0
112,760779898,HEALTHCARE,20313.32,0,14140.33,1143,0.2,0.793,49,0
113,398985258,TOURISM,7425.38,8,8878.17,847,0.45,0.449,18,0
114,580315395,TOURISM,75335.22,6,70820.45,1416,0.45,0.179,10,0
115,857517431,FINANCE,94997.68,3,153154.53,151,0.3,0.22,8,0
116,314572654,TOURISM,70864.81,10,12905.17,840,0.45,0.153,37,0
117,461160810,CONSTRUCTION,31597.96,6,35472.8,1510,0.55,0.364,7,0
118,615085511,HEALTHCARE,38291.62,2,40577.87,726,0.2,0.293,34,0
119,154710578,TECH,71788.63,8,29901.05,36,0.15,0.74,50,0
120,942710036,HEALTHCARE,53607.28,10,41570.19,945,0.2,0.134,48,0
121,798815945,FINANCE,60036.99,0,60642.01,889,0.3,0.218,35,0
122,991524275,HEALTHCARE,85252.56,6,60211.39,1171,0.2,0.558,21,0
123,644316230,AGRICULTURE,50814.95,6,42026.44,1647,0.4,0.56,21,0
124,082350968,TECH,46502.33,4,35862.14,1380,0.15,0.331,167,0
125,496386768,TOURISM,73764.03,8,51600.28,1495,0.45,0.678,14,0
126,917062217,RETAIL,61671.19,1,41665.25,1347,0.35,0.67,9,0
127,039029154,TOURISM,66168.77,12,50184.18,845,0.45,0.637,12,0
128,112105970,CONSTRUCTION,32113.2,2,32368.0,1038,0.55,0.248,37,0
129,256732291,TECH,52551.92,4,53340.44,310,0.15,0.612,51,0
130,554093436,HEALTHCARE,60083.14,2,56330.63,107,0.2,0.754,38,0
131,066569300,AGRICULTURE,1902.47,6,1456.52,1173,0.4,0.134,35,0
132,761342823,AGRICULTURE,40323.79,8,29729.18,1380,0.4,0.435,41,0
133,142720513,CONSTRUCTION,92368.7,4,63252.76,481,0.55,0.707,44,0
134,111284256,TOURISM,65362.04,1,50547.92,595,0.45,0.505,7,1
135,862513772,AGRICULTURE,73476.92,2,74703.59,494,0.4,0.663,40,0
136,848310344,HEALTHCARE,15499.3,0,16593.27,727,0.2,0.339,38,0
137,209768127,HEALTHCARE,30593.03,7,20885.69,577,0.2,0.799,32,0
138,995190629,TOURISM,5624.98,0,4480.87,1537,0.45,0.104,11,0
139,571287533,FINANCE,75361.9,5,72104.24,355,0.3,0.768,12,0
140,604947421,AGRICULTURE,66249.41,10,36516.77,1584,0.4,0.498,1,0
141,898045769,RETAIL,53706.22,11,54217.67,1676,0.35,0.64,11,0
142,072176999,CONSTRUCTION,57760.56,5,62182.11,1760,0.55,0.499,19,0
143,197406395,RETAIL,28481.31,0,17181.21,537,0.35,0.264,14,0
144,073397351,TOURISM,73341.99,0,55474.48,1798,0.45,0.084,28,0
145,839859146,FINANCE,112522.1,9,96864.14,409,0.3,0.582,5,0
146,890091807,TOURISM,46027.67,11,50598.87,1462,0.45,0.361,37,0
147,419734860,CONSTRUCTION,15366.59,8,6619.7,1210,0.55,0.824,40,0
148,075686804,HEALTHCARE,40637.55,12,27724.39,1503,0.2,0.439,18,0
149,388597871,FINANCE,21865.28,9,18449.15,109,0.3,0.675,3,0
150,059466961,TOURISM,84914.62,3,32528.47,1275,0.45,0.2,7,0
151,892694813,FINANCE,78001.68,9,97282.68,1683,0.3,0.415,36,0
152,400545304,AGRICULTURE,45402.76,2,49501.55,1207,0.4,0.584,47,0
153,651899940,CONSTRUCTION,60136.75,11,38148.06,493,0.55,0.706,44,0
154,168783326,CONSTRUCTION,3506.27,11,4114.26,534,0.55,0.086,37,0
155,729155152,CONSTRUCTION,48889.25,10,41320.16,1757,0.55,0.482,32,0
156,172607612,TECH,9143.49,6,4870.86,1430,0.15,0.163,181,0
157,072799994,RETAIL,50540.77,4,43955.51,155,0.35,0.316,34,0
158,898926629,TOURISM,37748.94,12,21666.58,1289,0.45,0.094,48,0
159,656002295,CONSTRUCTION,46338.88,10,15353.23,780,0.55,0.41,3,0
160,534176079,FINANCE,62943.16,0,7068.09,457,0.3,0.289,12,0
161,919520984,AGRICULTURE,20240.71,9,15361.1,1247,0.4,0.244,26,0
162,463344190,HEALTHCARE,39054.38,4,22919.75,1007,0.2,0.406,16,0
163,420748015,TECH,47651.48,2,41189.34,1187,0.15,0.103,52,0
164,192680750,RETAIL,32906.68,5,22781.44,788,0.35,0.302,10,0
165,880697338,AGRICULTURE,116632.32,7,128526.84,8,0.4,0.46,13,0
166,723528815,CONSTRUCTION,73669.46,10,57472.15,1262,0.55,0.56,39,0
167,002397704,FINANCE,101950.16,12,100002.48,1240,0.3,0.186,31,0
168,888328997,CONSTRUCTION,63958.04,12,57670.89,1585,0.55,0.606,4,0
169,111809816,AGRICULTURE,47750.62,5,31301.58,949,0.4,0.307,44,0
170,911281471,HEALTHCARE,66274.64,11,16139.91,1588,0.2,0.487,35,0
171,403359690,RETAIL,47914.73,0,59881.68,219,0.35,0.677,5,0
172,277186986,TECH,65162.36,5,37246.87,642,0.15,0.213,159,0
173,492745379,TOURISM,51342.0,7,37353.06,1012,0.45,0.388,25,0
174,692804179,RETAIL,45740.68,6,22696.06,1126,0.35,0.182,44,0
175,037660028,AGRICULTURE,23290.13,11,24815.31,447,0.4,0.083,14,0
176,106897317,FINANCE,76575.49,8,68733.38,1786,0.3,0.84,43,0
177,109459751,CONSTRUCTION,1975.38,2,2050.56,510,0.55,0.607,3,0
178,348110502,CONSTRUCTION,59768.31,7,49874.4,457,0.55,0.068,34,0
179,726195843,FINANCE,65293.6,12,54999.89,1821,0.3,0.314,28,0
180,824348228,HEALTHCARE,56319.95,7,51580.09,389,0.2,0.772,35,0
181,362391613,FINANCE,124108.27,5,102252.68,917,0.3,0.355,10,0
182,552568708,AGRICULTURE,44166.91,4,36039.64,1092,0.4,0.74,46,0
183,989820541,TOURISM,82351.35,3,75425.97,716,0.45,0.733,30,0
184,164316958,CONSTRUCTION,0,2,0,1119,0.55,0.192,6,0
185,602012212,TECH,68876.33,4,62968.74,152,0.15,0.658,20,0
186,874848936,RETAIL,0,4,0,1609,0.35,0.688,49,0
187,357813742,TOURISM,48893.2,2,37887.08,341,0.45,0.319,2,0
188,521046059,FINANCE,89708.58,1,51356.75,648,0.3,0.65,1,0
189,761494340,TOURISM,32536.87,1,22797.52,226,0.45,0.07,19,0
190,945754523,RETAIL,61747.72,12,54520.96,1578,0.35,0.781,32,0
191,552411087,RETAIL,24459.61,7,25974.69,257,0.35,0.516,20,0
192,934662972,AGRICULTURE,59746.35,0,35956.95,1612,0.4,0.715,36,0
193,957263485,RETAIL,41029.05,3,22727.93,722,0.35,0.27,23,0
194,972967828,FINANCE,98686.7,0,63866.48,98,0.3,0.174,43,0
195,062094341,HEALTHCARE,21416.74,2,22919.49,1802,0.2,0.46,39,0
196,301132633,TECH,85154.98,11,43522.11,1565,0.15,0.812,28,0
197,734815391,TOURISM,20071.12,4,14578.95,1212,0.45,0.376,26,0
198,605690436,CONSTRUCTION,72551.69,9,100611.1,29,0.55,0.253,44,0
199,694421106,FINANCE,96615.12,11,61938.44,521,0.3,0.256,48,0
200,615187104,HEALTHCARE,79191.35,0,66260.34,737,0.2,0.217,2,0
201,989228401,TECH,35485.69,6,20250.02,535,0.15,0.658,103,0
202,573580541,RETAIL,39400.43,9,12355.26,1758,0.35,0.841,36,0
203,006921539,HEALTHCARE,46278.48,11,53622.29,327,0.2,0.775,28,0
204,481798903,AGRICULTURE,99337.52,5,89641.2,48,0.4,0.616,45,0
205,813012170,AGRICULTURE,5631.95,3,1622.79,1805,0.4,0.524,30,0
206,341029061,TOURISM,27432.72,9,18495.05,661,0.45,0.752,4,0
207,106707696,HEALTHCARE,2181.05,8,1240.62,1564,0.2,0.788,21,0
208,177326857,HEALTHCARE,60878.77,11,47285.02,1083,0.2,0.548,8,0
209,168631855,TOURISM,45937.3,12,31491.83,705,0.45,0.638,32,0
210,054116691,CONSTRUCTION,31474.41,6,16840.52,1441,0.55,0.438,28,0
211,426996969,TECH,59467.21,0,41142.94,1307,0.15,0.833,82,0
212,828160413,HEALTHCARE,22613.13,12,21883.86,1168,0.2,0.703,3,0
213,703834103,HEALTHCARE,11862.93,6,6487.09,554,0.2,0.586,18,0
214,830784908,TECH,51893.11,5,37255.74,992,0.15,0.652,124,0
215,320130223,CONSTRUCTION,45116.39,6,0,28,0.55,0.597,45,0
216,338447278,TOURISM,47220.41,5,27111.22,555,0.45,0.091,23,0
217,735154960,TECH,53268.13,6,48299.14,1330,0.15,0.619,81,0
218,434683485,AGRICULTURE,38279.21,11,33331.04,890,0.4,0.378,31,0
219,005832697,RETAIL,25942.44,10,16841.28,672,0.35,0.719,38,0
220,982109592,AGRICULTURE,45609.4,3,40979.0,1517,0.4,0.771,4,0
221,968345116,HEALTHCARE,27387.39,11,19868.86,1507,0.2,0.786,11,0
222,822262936,FINANCE,67402.83,6,24416.09,708,0.3,0.123,41,0
223,052048825,FINANCE,63231.82,4,70823.85,1473,0.3,0.75,39,0
224,851586940,CONSTRUCTION,17563.61,10,19477.62,1231,0.55,0.111,12,0
225,991780766,TOURISM,35960.78,7,41140.13,1810,0.45,0.112,33,0
226,618700136,TECH,62169.82,11,43415.58,1062,0.15,0.64,169,0
227,136472598,RETAIL,59520.28,1,52373.78,862,0.35,0.212,28,0
228,985354143,FINANCE,60632.01,2,66410.79,1661,0.3,0.131,10,0
229,632515310,TECH,91365.87,9,107486.75,512,0.15,0.193,119,0
230,025904754,AGRICULTURE,43555.8,8,44120.15,57,0.4,0.283,14,0
231,518469172,AGRICULTURE,52070.1,1,25525.93,953,0.4,0.137,14,0
232,241987833,TOURISM,30266.8,2,40246.97,925,0.45,0.139,38,0
233,135522022,CONSTRUCTION,51343.5,5,56759.74,1344,0.55,0.547,28,0
234,128085517,FINANCE,54973.62,10,50082.29,1003,0.3,0.416,42,0
235,119896835,CONSTRUCTION,33349.92,8,20237.64,1457,0.55,0.527,15,0
236,605643290,RETAIL,58336.06,5,48675.67,1315,0.35,0.367,16,0
237,275063622,TECH,10752.13,0,8302.05,1645,0.15,0.51,86,0
238,653123584,TOURISM,29835.76,12,22592.84,331,0.45,0.313,22,0
239,462042457,TOURISM,39855.79,0,25426.39,1170,0.45,0.262,33,0
240,921180829,AGRICULTURE,64941.99,7,36525.2,393,0.4,0.664,15,0
241,729032165,CONSTRUCTION,65280.76,7,33575.77,563,0.55,0.222,21,0
242,376107277,TECH,65644.71,5,46887.13,874,0.15,0.562,117,0
243,973246057,AGRICULTURE,38847.41,11,7510.11,992,0.4,0.633,40,0
244,250583682,FINANCE,85818.14,0,65171.97,1815,0.3,0.159,5,0
245,552674693,RETAIL,48528.95,0,22828.1,1306,0.35,0.169,41,0
246,213027322,RETAIL,61193.04,12,48355.7,269,0.35,0.844,35,0
247,344462279,FINANCE,100848.79,4,85579.01,19,0.3,0.564,0,0
248,477204844,FINANCE,86435.37,2,76559.03,991,0.3,0.191,49,0
249,559948482,CONSTRUCTION,72723.59,6,50845.53,1648,0.55,0.167,35,0
250,694130087,AGRICULTURE,52167.71,9,23966.5,792,0.4,0.342,38,0
251,318244649,TECH,58310.72,5,49876.01,1572,0.15,0.537,29,0
252,602076245,RETAIL,59037.91,11,32370.09,785,0.35,0.587,21,0
253,348579494,TECH,63413.48,0,50334.54,1191,0.15,0.377,193,0
254,537057549,TECH,47367.45,4,26236.83,339,0.15,0.399,174,0
255,222951858,RETAIL,71036.6,4,69459.25,555,0.35,0.527,21,0
256,891490876,TOURISM,22506.22,1,20472.72,153,0.45,0.354,20,0
257,869080267,TOURISM,3033.78,7,1774.33,570,0.45,0.494,1,0
258,342749784,AGRICULTURE,30251.54,9,23720.24,31,0.4,0.637,38,0
259,249937299,HEALTHCARE,38539.85,12,37080.86,130,0.2,0.346,4,0
260,301604263,RETAIL,58242.5,11,20028.73,1721,0.35,0.784,8,0
261,298468585,AGRICULTURE,60550.78,9,35119.42,1309,0.4,0.662,30,0
262,599753929,HEALTHCARE,39760.89,0,33379.22,1348,0.2,0.82,50,0
263,405484652,AGRICULTURE,75725.48,12,58111.64,1280,0.4,0.806,42,0
264,583076820,TOURISM,79774.22,8,47073.65,1198,0.45,0.842,23,0
265,117384962,RETAIL,44910.58,0,43206.61,289,0.35,0.651,17,0
266,507013422,AGRICULTURE,26971.03,12,23446.96,1415,0.4,0.379,46,0
267,571062080,CONSTRUCTION,35174.63,0,36366.58,566,0.55,0.295,44,0
268,860496022,CONSTRUCTION,81207.33,0,65622.87,525,0.55,0.121,23,0
269,552617282,RETAIL,59534.9,10,50600.9,63,0.35,0.149,39,0
270,976040271,HEALTHCARE,83423.81,1,76666.97,264,0.2,0.349,8,0
271,495254003,TOURISM,80931.27,12,25476.67,28,0.45,0.684,0,0
272,934576494,RETAIL,12071.82,1,1129.12,1578,0.35,0.581,35,0
273,911616466,HEALTHCARE,11593.62,7,9109.89,1271,0.2,0.174,44,0
274,882978768,HEALTHCARE,36624.34,6,22558.24,881,0.2,0.229,45,0
275,626357548,AGRICULTURE,54595.28,8,31579.67,1307,0.4,0.292,20,0
276,683314214,FINANCE,75860.28,0,74199.42,1693,0.3,0.327,17,0
277,554402741,HEALTHCARE,53026.5,8,52960.11,66,0.2,0.743,10,0
278,207904266,FINANCE,88245.48,0,87295.3,1674,0.3,0.641,33,0
279,852852958,TECH,36868.62,10,22030.58,956,0.15,0.383,50,0
280,796855965,TECH,54996.87,2,68182.1,52,0.15,0.138,190,0
281,028105939,AGRICULTURE,67623.99,7,81884.74,1003,0.4,0.749,35,0
282,021492907,TECH,47793.36,4,33707.8,1641,0.15,0.623,97,0
283,021098593,TOURISM,60898.62,1,39748.38,40,0.45,0.419,42,0
284,913539411,TECH,19544.1,8,8967.48,557,0.15,0.208,163,0
285,175613631,TOURISM,67146.6,2,24308.47,957,0.45,0.267,38,0
286,491780885,TECH,8670.88,10,11326.74,1245,0.15,0.69,161,0
287,164023739,RETAIL,26673.35,1,21565.99,1534,0.35,0.615,11,0
288,412986037,CONSTRUCTION,53047.78,4,41119.47,753,0.55,0.621,44,0
289,170277721,HEALTHCARE,76336.63,5,35462.95,530,0.2,0.175,50,0
290,728782650,FINANCE,52312.12,10,23478.39,937,0.3,0.584,35,0
291,836625396,TECH,55659.32,11,35757.13,350,0.15,0.796,96,0
292,215595223,HEALTHCARE,96814.86,2,129029.11,1594,0.2,0.222,21,0
293,105185079,FINANCE,50651.55,3,28797.39,216,0.3,0.321,45,0
294,870898500,HEALTHCARE,48432.24,1,30283.01,101,0.2,0.636,37,0
295,203609603,TECH,50761.81,10,59453.86,1253,0.15,0.13,191,0
296,072807934,CONSTRUCTION,12845.61,6,10488.26,1764,0.55,0.107,10,0
297,023193798,FINANCE,67991.13,9,90534.47,773,0.3,0.536,40,0
298,949235920,FINANCE,98269.5,6,87464.43,4,0.3,0.054,36,0
299,997805501,CONSTRUCTION,27884.55,10,22825.49,1621,0.55,0.837,50,0
300,670512107,RETAIL,62900.74,0,43292.64,201,0.35,0.134,4,0
301,236537558,RETAIL,45647.27,5,48575.13,1557,0.35,0.593,18,0
302,914859618,RETAIL,34880.98,8,24526.23,367,0.35,0.357,19,0
303,398930161,TOURISM,37967.91,10,41536.09,1616,0.45,0.476,16,0
304,115071689,CONSTRUCTION,100732.44,2,60727.46,610,0.55,0.194,8,0
305,467530157,FINANCE,91892.37,12,86927.95,1557,0.3,0.144,31,0
306,027679918,TECH,31843.04,0,34598.78,1726,0.15,0.132,63,0
307,324200954,CONSTRUCTION,36274.42,0,53712.9,574,0.55,0.822,9,1
308,676426333,TECH,73892.6,4,65498.22,258,0.15,0.678,154,0
309,140551629,TECH,51922.02,2,55519.72,174,0.15,0.755,162,0
310,693496174,HEALTHCARE,1723.43,9,1566.06,140,0.2,0.374,43,0
311,952075704,HEALTHCARE,44624.84,11,50369.14,1720,0.2,0.453,3,0
312,153037631,FINANCE,49130.55,4,20204.54,1090,0.3,0.592,42,0
313,312182725,HEALTHCARE,64883.18,8,49259.6,214,0.2,0.832,26,0
314,784164756,TOURISM,61176.44,4,32590.49,1361,0.45,0.448,12,0
315,157961428,TECH,63077.08,1,28518.43,676,0.15,0.425,177,0
316,622353422,CONSTRUCTION,46624.7,8,44853.88,346,0.55,0.098,28,0
317,973259896,TECH,51114.61,11,62609.76,1140,0.15,0.385,138,0
318,859893443,TECH,11237.57,3,5200.23,1779,0.15,0.671,73,0
319,517790171,CONSTRUCTION,44378.88,1,31537.47,1220,0.55,0.255,0,0
320,536236076,RETAIL,47669.03,9,11775.11,536,0.35,0.503,46,0
321,596465215,TOURISM,58930.8,7,63184.79,580,0.45,0.806,1,0
322,464398997,FINANCE,66001.33,8,53926.06,1252,0.3,0.315,45,0
323,605226124,AGRICULTURE,43164.64,7,33849.0,9,0.4,0.748,17,0
324,091917066,HEALTHCARE,84384.76,0,101075.36,676,0.2,0.179,25,0
325,211409155,TOURISM,47804.38,8,50170.13,1247,0.45,0.135,41,0
326,704983563,FINANCE,55267.79,3,40644.8,1071,0.3,0.223,38,0
327,887525768,CONSTRUCTION,37318.91,6,30394.25,142,0.55,0.688,37,0
328,797525421,FINANCE,23069.81,2,21321.99,831,0.3,0.263,28,0
329,598263494,HEALTHCARE,84238.17,1,92684.33,850,0.2,0.471,45,0
330,499049511,AGRICULTURE,90705.21,0,66938.38,667,0.4,0.607,29,0
331,726905947,AGRICULTURE,43254.1,1,62128.81,13,0.4,0.492,46,0
332,959818370,TECH,50013.72,2,49347.94,1781,0.15,0.351,178,0
333,549707514,CONSTRUCTION,19349.1,3,12225.16,1445,0.55,0.137,11,0
334,741607319,TOURISM,24694.81,7,13538.37,634,0.45,0.098,9,0
335,566128240,FINANCE,72468.51,4,57021.8,975,0.3,0.475,8,0
336,406470887,FINANCE,48455.27,10,36399.52,925,0.3,0.636,48,0
337,302758794,TECH,44360.05,1,46517.79,1321,0.15,0.376,6,0
338,943659607,CONSTRUCTION,55071.76,0,37742.78,733,0.55,0.087,2,0
339,360694347,RETAIL,36645.43,5,49324.56,539,0.35,0.622,11,0
340,299596170,CONSTRUCTION,22279.63,11,14239.1,1355,0.55,0.225,6,0
341,649094125,TOURISM,0,8,0,1506,0.45,0.619,35,0
342,840943089,RETAIL,24076.3,3,19880.4,438,0.35,0.077,12,0
343,054719961,RETAIL,45811.65,6,59468.28,860,0.35,0.618,31,0
344,707130802,CONSTRUCTION,45091.98,10,8550.32,1720,0.55,0.709,27,0
345,406953517,AGRICULTURE,28835.31,5,14931.65,326,0.4,0.445,8,0
346,172361328,TECH,0,8,0,1043,0.15,0.152,20,0
347,874950334,FINANCE,87433.11,1,71837.34,1228,0.3,0.317,19,0
348,402269562,HEALTHCARE,22536.68,7,20267.15,412,0.2,0.364,17,0
349,802882398,AGRICULTURE,64896.14,8,52383.56,1712,0.4,0.278,41,0
350,318517530,TOURISM,46442.07,7,28057.05,1755,0.45,0.15,6,0
351,818204129,TOURISM,35572.24,10,23454.94,36,0.45,0.257,45,0
